./assets/standard_test_images/bmps/age.bmp:
Metric,affine_transform,benchmark_custom,benchmark,bicubic,dlr,lanczos,linear,nearest
CC,0.9519026868176448,1.0,1.0,1.0,0.993127864250143,1.0,1.0,1.0
LMSE,2655.844881653578,0.0,0.0,0.0,525.0514016143106,0.0,0.0,0.0
MSE,310.05854602966843,0.0,0.0,0.0,44.44899378272251,0.0,0.0,0.0
NAE,0.03529594849188319,0.0,0.0,0.0,0.004333010326675454,0.0,0.0,0.0
PSNR,23.21636654720895,361.20199909921956,361.20199909921956,361.20199909921956,31.65218426822812,361.20199909921956,361.20199909921956,361.20199909921956
RE,0.30984063945144824,0.0,0.0,0.0,0.04096374568185243,0.0,0.0,0.0
SSIM,0.839769756785286,1.0,1.0,1.0,0.978849150327351,1.0,1.0,1.0

./assets/standard_test_images/bmps/astronaut.bmp:
Metric,affine_transform,benchmark_custom,benchmark,bicubic,dlr,lanczos,linear,nearest
CC,0.9876932744166014,1.0,1.0,1.0,0.9994779711068833,1.0,1.0,1.0
LMSE,1097.033836364746,0.0,0.0,0.0,48.540809631347656,0.0,0.0,0.0
MSE,138.87776947021484,0.0,0.0,0.0,5.892612457275391,0.0,0.0,0.0
NAE,0.03217933506309944,0.0,0.0,0.0,0.0011734841697312746,0.0,0.0,0.0
PSNR,26.704476282267137,361.20199909921956,361.20199909921956,361.20199909921956,40.42772481320576,361.20199909921956,361.20199909921956,361.20199909921956
RE,0.44848640507301096,0.0,0.0,0.0,0.019179579173986275,0.0,0.0,0.0
SSIM,0.9206724124486448,1.0,1.0,1.0,0.9972281671536998,1.0,1.0,1.0

./assets/standard_test_images/bmps/brick.bmp:
Metric,affine_transform,benchmark_custom,benchmark,bicubic,dlr,lanczos,linear,nearest
CC,0.9648961945719603,1.0,1.0,1.0,0.9991408608452403,1.0,1.0,1.0
LMSE,97.96224212646484,0.0,0.0,0.0,8.361007690429688,0.0,0.0,0.0
MSE,47.61759948730469,0.0,0.0,0.0,1.1659965515136719,0.0,0.0,0.0
NAE,0.020068621548297,0.0,0.0,0.0,0.0006291808843874392,0.0,0.0,0.0
PSNR,31.3531286303078,361.20199909921956,361.20199909921956,361.20199909921956,47.46383094888138,361.20199909921956,361.20199909921956,361.20199909921956
RE,0.3861489437458623,0.0,0.0,0.0,0.015359878767936302,0.0,0.0,0.0
SSIM,0.9575769700623682,1.0,1.0,1.0,0.9988286008908941,1.0,1.0,1.0

./assets/standard_test_images/bmps/camera.bmp:
Metric,affine_transform,benchmark_custom,benchmark,bicubic,dlr,lanczos,linear,nearest
CC,0.9882912412869516,1.0,1.0,1.0,0.9996838460314786,1.0,1.0,1.0
LMSE,1697.0557670593262,0.0,0.0,0.0,44.03496551513672,0.0,0.0,0.0
MSE,127.01554107666016,0.0,0.0,0.0,3.429492950439453,0.0,0.0,0.0
NAE,0.029544850298507397,0.0,0.0,0.0,0.001029276735280682,0.0,0.0,0.0
PSNR,27.092234982512807,361.20199909921956,361.20199909921956,361.20199909921956,42.77850446394907,361.20199909921956,361.20199909921956,361.20199909921956
RE,0.3743286446949892,0.0,0.0,0.0,0.016585918360440162,0.0,0.0,0.0
SSIM,0.8729767261892205,1.0,1.0,1.0,0.9953078657259484,1.0,1.0,1.0

./assets/standard_test_images/bmps/cell.bmp:
Metric,affine_transform,benchmark_custom,benchmark,bicubic,dlr,lanczos,linear,nearest
CC,0.6917220000837874,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9715587617258807,0.9999999999999998,0.9999999999999998,0.9999999999999998
LMSE,17299.26393939394,0.0,0.0,0.0,596.8958154269973,0.0,0.0,0.0
MSE,1079.057867768595,0.0,0.0,0.0,99.45487603305786,0.0,0.0,0.0
NAE,0.44743970260815613,0.0,0.0,0.0,0.033175921297821945,0.0,0.0,0.0
PSNR,17.800356251945566,361.20199909921956,361.20199909921956,361.20199909921956,28.15454280472931,361.20199909921956,361.20199909921956,361.20199909921956
RE,1.0603008942707612,0.0,0.0,0.0,0.05837362551149053,0.0,0.0,0.0
SSIM,0.5586442224463916,1.0,1.0,1.0,0.9666533841707147,1.0,1.0,1.0

./assets/standard_test_images/bmps/chelsea.bmp:
Metric,affine_transform,benchmark_custom,benchmark,bicubic,dlr,lanczos,linear,nearest
CC,0.979605836005852,1.0,1.0,1.0,0.9984187931090063,1.0,1.0,1.0
LMSE,405.70457501847744,0.0,0.0,0.0,35.356230598669626,0.0,0.0,0.0
MSE,42.0329859571323,0.0,0.0,0.0,3.2637841832963783,0.0,0.0,0.0
NAE,0.02237218984427077,0.0,0.0,0.0,0.0017589995006806875,0.0,0.0,0.0
PSNR,31.894901181704938,361.20199909921956,361.20199909921956,361.20199909921956,42.99358927422816,361.20199909921956,361.20199909921956,361.20199909921956
RE,0.4142282374226216,0.0,0.0,0.0,0.03230803795222667,0.0,0.0,0.0
SSIM,0.9063933901186615,1.0,1.0,1.0,0.9929222933454956,1.0,1.0,1.0

