PSNR:
Method,astronaut.png,brick.png,chelsea.png,color.png,moon.png,page.png,text.png
proposed_algorithm,0.0620971579357183,0.05484028266343458,0.07578701694387228,0.017697281759104573,0.019443723003258095,0.13394441760371356,0.05297076739635876

CC:
Method,astronaut.png,brick.png,chelsea.png,color.png,moon.png,page.png,text.png
affine_transform,0.988168940592261,0.9866326441254951,0.9785509381040185,0.9998395475053591,0.9916244318292702,0.9541573340465845,0.9872962984719587
benchmark_custom,0.9810989405633889,0.9767683717318991,0.973483065229971,0.9996543573861599,0.9906935654190415,0.9339459090215895,0.9807860531209298
benchmark,0.9915698115023558,0.9901271015844848,0.9813095269162775,0.9997385828311716,0.9957955930562244,0.9492289059190059,0.993683742329864
bicubic,0.9905628066910701,0.9894060546736588,0.9794763559763513,0.9997338609222117,0.9954153794050895,0.941424538186775,0.9930152925530615
lanczos,0.9904167190146591,0.9893434571353596,0.9791593917660729,0.9997332935827092,0.995304369514051,0.9399343073367229,0.9928604328520143
linear,0.9915698115023558,0.9901271015844848,0.9813095269162775,0.9997385828311716,0.9957955930562244,0.9492289059190059,0.993683742329864
nearest,0.9884711822623254,0.9873366887779669,0.9777307743025192,0.9997176112364773,0.9941020254680221,0.9385434334348915,0.9906836184210056
proposed_algorithm,0.9868993459138818,0.9855417607291642,0.9803784949801103,0.9997402350096785,0.9942547203395318,0.9353951713981888,0.987740191524001

LMSE:
Method,astronaut.png,brick.png,chelsea.png,color.png,moon.png,page.png,text.png
affine_transform,1340.385925507229,646.7548002957951,1062.9752891485414,7.505401889247129,431.27015316747276,7925.637860193911,1016.4632043087121
benchmark_custom,1711.0768918562844,809.5056885311392,1237.1084435321518,7.60893069258927,575.5576906731039,8967.696386195674,1490.9637961647727
benchmark,667.7105394010999,293.83392549022943,741.2819958157344,4.110356920640307,246.36202602657056,5215.54485727846,382.4013908617424
bicubic,774.6737222585828,326.72064360938043,876.6268148265109,4.650562006577618,276.09031100986834,6398.846945555631,447.0819779829545
lanczos,797.9019009936336,332.17417487611453,932.4529704338215,4.776870055675418,283.26876981529807,6852.396725201708,471.898407907197
linear,667.7105394010999,293.83392549022943,741.2819958157344,4.110356920640307,246.36202602657056,5215.54485727846,382.4013908617424
nearest,1543.3439043255787,717.2603847036523,1317.6792918327874,7.749711118114308,507.24593706703837,8892.090941758763,978.1456616950758
proposed_algorithm,1604.9946960875145,737.3374316823772,1108.278206292188,8.856060055109776,458.3359888311843,8668.612861888942,1350.461582623106

MSE:
Method,astronaut.png,brick.png,chelsea.png,color.png,moon.png,page.png,text.png
affine_transform,151.38706873836583,91.93964037093387,174.41166067974578,1.3774009518961157,53.630744842710094,818.3651569597939,111.36632339015152
benchmark_custom,241.40922574777517,159.72583489872417,215.48955512572533,2.9672088757444266,59.55507271630018,1177.3158926028884,168.08687263257576
benchmark,107.26711871754117,67.63352854677898,151.36072711483047,2.244200140602652,26.857467976778384,895.084209098922,55.01838896780303
bicubic,120.47622376730784,72.81232734659878,166.61430150396717,2.2846153224568293,29.310640124437946,1041.211987253373,61.038050426136365
lanczos,122.27822378430756,73.176321090702,169.1182726088501,2.2894677300752306,30.011704306878936,1067.7446674350804,62.34459043560606
linear,107.26711871754117,67.63352854677898,151.36072711483047,2.244200140602652,26.857467976778384,895.084209098922,55.01838896780303
nearest,147.26548461950378,87.06532992205629,180.97222989776182,2.4242200189086325,37.74570757082508,1095.271848938911,81.51869081439393
proposed_algorithm,167.40571530569747,99.4126150668514,159.5473927288517,2.229945940704468,36.80349174238625,1153.3666214658622,107.4482540246212

RE:
Method,astronaut.png,brick.png,chelsea.png,color.png,moon.png,page.png,text.png
affine_transform,0.05181208767032256,0.046124474329371,0.0707691061705527,0.013397416226964338,0.01856804318778324,0.10770048476954898,0.04552447031088935
benchmark_custom,0.07889461212381614,0.07283305720830047,0.08669024212523455,0.021167064452639505,0.025945873426867695,0.13698064178703026,0.06797664795317389
