./assets/standard_test_images/astronaut.png:
Metric,benchmark_custom,benchmark,bicubic,dlr,lanczos,linear,nearest
CC,0.9946599872553602,0.9946599872553602,0.9946599872553602,0.9941583307793961,0.9946599872553602,0.9946599872553602,0.9946599872553602
LMSE,39.51374053955078,39.51374053955078,39.51374053955078,86.85003280639648,39.51374053955078,39.51374053955078,39.51374053955078
MSE,83.24668884277344,83.24668884277344,83.24668884277344,89.04696655273438,83.24668884277344,83.24668884277344,83.24668884277344
NAE,0.044786541300221326,0.044786541300221326,0.044786541300221326,0.04556120476696676,0.044786541300221326,0.044786541300221326,0.044786541300221326
PSNR,28.927133925143043,28.927133925143043,28.927133925143043,28.63461231362276,28.927133925143043,28.927133925143043,28.927133925143043
RE,0.1594586437950192,0.1594586437950192,0.1594586437950192,0.16860232221344465,0.1594586437950192,0.1594586437950192,0.1594586437950192
SSIM,0.9672567038775596,0.9672567038775596,0.9672567038775596,0.9646534181256776,0.9672567038775596,0.9672567038775596,0.9672567038775596

./assets/standard_test_images/brick.png:
Metric,benchmark_custom,benchmark,bicubic,dlr,lanczos,linear,nearest
CC,1.0,1.0,1.0,0.9991408608452403,1.0,1.0,1.0
LMSE,0.0,0.0,0.0,8.361007690429688,0.0,0.0,0.0
MSE,0.0,0.0,0.0,1.1659965515136719,0.0,0.0,0.0
NAE,0.0,0.0,0.0,0.0006291808843874392,0.0,0.0,0.0
PSNR,361.20199909921956,361.20199909921956,361.20199909921956,47.46383094888138,361.20199909921956,361.20199909921956,361.20199909921956
RE,0.0,0.0,0.0,0.015359878767936302,0.0,0.0,0.0
SSIM,1.0,1.0,1.0,0.9988286008908941,1.0,1.0,1.0

./assets/standard_test_images/camera.png:
Metric,benchmark_custom,benchmark,bicubic,dlr,lanczos,linear,nearest
CC,1.0,1.0,1.0,0.9996838460314786,1.0,1.0,1.0
LMSE,0.0,0.0,0.0,44.03496551513672,0.0,0.0,0.0
MSE,0.0,0.0,0.0,3.429492950439453,0.0,0.0,0.0
NAE,0.0,0.0,0.0,0.001029276735280682,0.0,0.0,0.0
PSNR,361.20199909921956,361.20199909921956,361.20199909921956,42.77850446394907,361.20199909921956,361.20199909921956,361.20199909921956
RE,0.0,0.0,0.0,0.016585918360440162,0.0,0.0,0.0
SSIM,1.0,1.0,1.0,0.9953078657259484,1.0,1.0,1.0

./assets/standard_test_images/cell.png:
Metric,benchmark_custom,benchmark,bicubic,dlr,lanczos,linear,nearest
CC,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999719871386956,0.9999999999999999,0.9999999999999999,0.9999999999999999
LMSE,0.0,0.0,0.0,0.23195316804407715,0.0,0.0,0.0
MSE,0.0,0.0,0.0,0.03198071625344353,0.0,0.0,0.0
NAE,0.0,0.0,0.0,0.00017531595177347996,0.0,0.0,0.0
PSNR,361.20199909921956,361.20199909921956,361.20199909921956,63.08192174708638,361.20199909921956,361.20199909921956,361.20199909921956
RE,0.0,0.0,0.0,0.015306562134851327,0.0,0.0,0.0
SSIM,1.0,1.0,1.0,0.9998078780013742,1.0,1.0,1.0

./assets/standard_test_images/chelsea.png:
Metric,benchmark_custom,benchmark,bicubic,dlr,lanczos,linear,nearest
CC,0.9982122003429639,0.9982122003429639,0.9982122003429639,0.996625098025575,0.9982122003429639,0.9982122003429639,0.9982122003429639
LMSE,11.239334811529934,11.239334811529934,11.239334811529934,45.7709903917221,11.239334811529934,11.239334811529934,11.239334811529934
MSE,12.521966001478196,12.521966001478196,12.521966001478196,15.806733185513673,12.521966001478196,12.521966001478196,12.521966001478196
NAE,0.024480624378323556,0.024480624378323556,0.024480624378323556,0.025549791100944515,0.024480624378323556,0.024480624378323556,0.024480624378323556
PSNR,37.15407840574735,37.15407840574735,37.15407840574735,36.14238238317351,37.15407840574735,37.15407840574735,37.15407840574735
RE,0.0353674795839621,0.0353674795839621,0.0353674795839621,0.05378168824985954,0.0353674795839621,0.0353674795839621,0.0353674795839621
SSIM,0.9953881714117807,0.9953881714117807,0.9953881714117807,0.9883208663018036,0.9953881714117807,0.9953881714117807,0.9953881714117807

./assets/standard_test_images/chessboard_GRAY.png:
Metric,benchmark_custom,benchmark,bicubic,dlr,lanczos,linear,nearest
CC,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9996055301983234,0.9999999999999999,0.9999999999999999,0.9999999999999999
LMSE,0.0,0.0,0.0,74.076,0.0,0.0,0.0
MSE,0.0,0.0,0.0,11.7426,0.0,0.0,0.0
NAE,0.0,0.0,0.0,0.0018894117647058823,0.0,0.0,0.0
PSNR,361.20199909921956,361.20199909921956,361.20199909921956,37.43316093544387,361.20199909921956,361.20199909921956,361.20199909921956
RE,0.0,0.0,0.0,0.005019607843137255,0.0,0.0,0.0
SSIM,1.0,1.0,1.0,0.9943796118770584,1.0,1.0,1.0

