./dumps/assets/astronaut.png.txt:
Metric,benchmark,dlr,linear
CC,0.9915658890213919,0.9868997030053759,0.9915658890213919
LMSE,659.735310117383,1585.3158399136414,659.735310117383
MSE,105.92417487611455,165.23184429956905,105.92417487611455
NAE,0.05360461761116551,0.06258391398026263,0.05360461761116551
PSNR,27.88085271231428,25.949866104330436,27.88085271231428
RE,0.05360461761116551,0.06258391398026263,0.05360461761116551
SSIM,0.9375098152055318,0.912295935968239,0.9375098152055318

./dumps/assets/brick.png.txt:
Metric,benchmark,dlr,linear
CC,0.9901271015844848,0.9855417607291642,0.9901271015844848
LMSE,293.83392549022943,737.3374316823772,293.83392549022943
MSE,67.63352854677898,99.4126150668514,67.63352854677898
NAE,0.048925028520678,0.05484028266343458,0.048925028520678
PSNR,29.82918315030325,28.156388627251445,29.82918315030325
RE,0.048925028520678,0.05484028266343458,0.048925028520678
SSIM,0.9401686968495295,0.918474034663376,0.9401686968495295

./dumps/assets/camera.png.txt:
Metric,benchmark,dlr,linear
CC,0.9919520605718278,0.9878081699305394,0.9919520605718278
LMSE,964.3009439094255,1985.3646949825327,964.3009439094255
MSE,114.12637166486753,173.70769194808287,114.12637166486753
NAE,0.046838432129885324,0.055145526401217324,0.046838432129885324
PSNR,27.556943505848924,25.732613110066236,27.556943505848924
RE,0.046838432129885324,0.055145526401217324,0.046838432129885324
SSIM,0.9014832733809423,0.8706910774110393,0.9014832733809423

./dumps/assets/cell.png.txt:
Metric,benchmark,dlr,linear
CC,0.9958206724551051,0.9948155807627338,0.9958206724551051
LMSE,64.13720065256827,141.15468211646396,64.13720065256827
MSE,12.160571666849288,15.101426579982224,12.160571666849288
NAE,0.019713301231152763,0.020095385777936174,0.019713301231152763
PSNR,37.28126369325731,36.34062385326417,37.28126369325731
RE,0.019713301231152763,0.020095385777936174,0.019713301231152763
SSIM,0.9819646207008152,0.97893101249618,0.9819646207008152

./dumps/assets/chelsea.png.txt:
Metric,benchmark,dlr,linear
CC,0.9807363199161093,0.979809693035452,0.9807363199161093
LMSE,724.5265266648246,1085.6282753720443,724.5265266648246
MSE,147.85604152686219,155.64914933091225,147.85604152686219
NAE,0.07468576839744774,0.07775437664814312,0.07468576839744774
PSNR,26.43241285991757,26.20933609391941,26.43241285991757
RE,0.07468576839744774,0.07775437664814312,0.07468576839744774
SSIM,0.8224028264370102,0.809696735267044,0.8224028264370102

./dumps/assets/chessboard_GRAY.png.txt:
Metric,benchmark,dlr,linear
CC,0.931944203095162,0.9147947650220095,0.931944203095162
LMSE,3411.275898491084,6828.087969821673,3411.275898491084
MSE,1632.2832647462278,2067.571659807956,1632.2832647462278
NAE,0.18106744474302422,0.18944083669611378,0.18106744474302422
PSNR,16.002848328954247,14.97619790203256,16.002848328954247
RE,0.18106744474302422,0.18944083669611378,0.18106744474302422
SSIM,0.8021531087131633,0.79276508567826,0.8021531087131633

