PSNR:
Method,astronaut.png.txt,brick.png.txt,camera.png.txt,cell.png.txt,chelsea.png.txt,chessboard_GRAY.png.txt
benchmark,27.88085271231428,29.82918315030325,27.556943505848924,37.28126369325731,26.43241285991757,16.002848328954247
dlr,25.949866104330436,28.156388627251445,25.732613110066236,36.34062385326417,26.20933609391941,14.97619790203256
linear,27.88085271231428,29.82918315030325,27.556943505848924,37.28126369325731,26.43241285991757,16.002848328954247

NAE:
Method,astronaut.png.txt,brick.png.txt,camera.png.txt,cell.png.txt,chelsea.png.txt,chessboard_GRAY.png.txt
benchmark,0.05360461761116551,0.048925028520678,0.046838432129885324,0.019713301231152763,0.07468576839744774,0.18106744474302422
dlr,0.06258391398026263,0.05484028266343458,0.055145526401217324,0.020095385777936174,0.07775437664814312,0.18944083669611378
linear,0.05360461761116551,0.048925028520678,0.046838432129885324,0.019713301231152763,0.07468576839744774,0.18106744474302422

CC:
Method,astronaut.png.txt,brick.png.txt,camera.png.txt,cell.png.txt,chelsea.png.txt,chessboard_GRAY.png.txt
benchmark,0.9915658890213919,0.9901271015844848,0.9919520605718278,0.9958206724551051,0.9807363199161093,0.931944203095162
dlr,0.9868997030053759,0.9855417607291642,0.9878081699305394,0.9948155807627338,0.979809693035452,0.9147947650220095
linear,0.9915658890213919,0.9901271015844848,0.9919520605718278,0.9958206724551051,0.9807363199161093,0.931944203095162

LMSE:
Method,astronaut.png.txt,brick.png.txt,camera.png.txt,cell.png.txt,chelsea.png.txt,chessboard_GRAY.png.txt
benchmark,659.735310117383,293.83392549022943,964.3009439094255,64.13720065256827,724.5265266648246,3411.275898491084
dlr,1585.3158399136414,737.3374316823772,1985.3646949825327,141.15468211646396,1085.6282753720443,6828.087969821673
linear,659.735310117383,293.83392549022943,964.3009439094255,64.13720065256827,724.5265266648246,3411.275898491084

MSE:
Method,astronaut.png.txt,brick.png.txt,camera.png.txt,cell.png.txt,chelsea.png.txt,chessboard_GRAY.png.txt
benchmark,105.92417487611455,67.63352854677898,114.12637166486753,12.160571666849288,147.85604152686219,1632.2832647462278
dlr,165.23184429956905,99.4126150668514,173.70769194808287,15.101426579982224,155.64914933091225,2067.571659807956
linear,105.92417487611455,67.63352854677898,114.12637166486753,12.160571666849288,147.85604152686219,1632.2832647462278

RE:
Method,astronaut.png.txt,brick.png.txt,camera.png.txt,cell.png.txt,chelsea.png.txt,chessboard_GRAY.png.txt
benchmark,0.05360461761116551,0.048925028520678,0.046838432129885324,0.019713301231152763,0.07468576839744774,0.18106744474302422
dlr,0.06258391398026263,0.05484028266343458,0.055145526401217324,0.020095385777936174,0.07775437664814312,0.18944083669611378
linear,0.05360461761116551,0.048925028520678,0.046838432129885324,0.019713301231152763,0.07468576839744774,0.18106744474302422

SSIM:
Method,astronaut.png.txt,brick.png.txt,camera.png.txt,cell.png.txt,chelsea.png.txt,chessboard_GRAY.png.txt
benchmark,0.9375098152055318,0.9401686968495295,0.9014832733809423,0.9819646207008152,0.8224028264370102,0.8021531087131633
dlr,0.912295935968239,0.918474034663376,0.8706910774110393,0.97893101249618,0.809696735267044,0.79276508567826
linear,0.9375098152055318,0.9401686968495295,0.9014832733809423,0.9819646207008152,0.8224028264370102,0.8021531087131633

