PSNR:
Method,lena.jpg,squirrel_cls.jpg,aero1.jpg,apple.jpg,board.jpg,building.jpg,butterfly.jpg,digits.png,ela_modified.jpg,fruits.jpg,licenseplate_motion.jpg,messi5.jpg,notes.png,orange.jpg,pic1.png,pic2.png,starry_night.jpg,sudoku.png,text_defocus.jpg
affine_transform,28.18027751350099,25.335501869739893,24.28772251824935,29.24196790377541,17.228166952527463,24.430297231241987,22.462592845331926,14.562800066585522,32.84362017601428,28.809170631554025,28.520479439303625,27.290931851290743,19.482729725018856,28.858380128705143,20.096387079655443,14.741447087179596,25.35311364280657,27.179973687276416,26.58000291549614
benchmark,29.42711508291746,25.2208403052164,25.941950094855034,31.65423827992898,18.088397924458747,24.119927482825048,21.233618528430547,14.494524746739597,32.88396354025637,29.73243713059415,31.489979727711884,27.359911479079763,18.734459615882326,32.213501008965025,21.27997425059386,16.636072535902585,26.53280126208434,27.205974454243254,28.805200288624782
bicubic,28.962603420195833,24.71864702952651,25.464511063404135,31.158774223587745,17.23459946514219,23.83064912300428,20.574365877270875,13.915979822689678,32.5105646819793,29.213586412608713,31.273948373459834,26.829751028025996,18.447299985004832,31.685109918285015,21.115773153951135,15.565127428123427,25.833032525411625,26.847046435075924,28.476808399518948
lanczos,28.916932274367863,24.676418647147575,25.428382659870255,30.993537082088736,17.104811195079055,23.86700887994277,20.447496773252727,13.884069290037546,32.510162102583344,29.212964886443732,31.2291658407981,26.746430680990677,18.401486249774123,31.529166179800114,21.08851347419745,15.27314605971857,25.712761863200626,26.827747843707108,28.393626859736763
linear,29.42711508291746,25.2208403052164,25.941950094855034,31.65423827992898,18.088397924458747,24.119927482825048,21.233618528430547,14.494524746739597,32.88396354025637,29.73243713059415,31.489979727711884,27.359911479079763,18.734459615882326,32.213501008965025,21.27997425059386,16.636072535902585,26.53280126208434,27.205974454243254,28.805200288624782
proposed_algorithm,27.860450726635186,24.486098577044622,24.916692302074125,30.064960450171398,17.00905360265445,24.042053611064695,20.70866954055694,13.850806573566912,32.297252483368354,29.297768547078725,28.71376374257631,26.4374541813763,18.418337896174172,29.925460257167444,19.12978636768859,14.48127769512066,24.961250744001518,25.90541141953117,27.858347241195855

NAE:
Method,lena.jpg,squirrel_cls.jpg,aero1.jpg,apple.jpg,board.jpg,building.jpg,butterfly.jpg,digits.png,ela_modified.jpg,fruits.jpg,licenseplate_motion.jpg,messi5.jpg,notes.png,orange.jpg,pic1.png,pic2.png,starry_night.jpg,sudoku.png,text_defocus.jpg
affine_transform,0.046903359628003335,0.0729275431536206,0.07233618997316685,0.03917719776053914,0.3026534587137947,0.07305361801790819,0.11220235033488529,0.9005534813012255,0.0725385965975867,0.06777307758011218,0.020415663189503577,0.08157786127381077,0.07818182888394556,0.03518545889329432,0.043850210073901635,0.31220065432948957,0.13348840029715509,0.06068501752585265,0.018112262206914958
