Image,Method,Metric,Value
./assets/standard_test_images/brick.png,linear,SSIM,1.0
./assets/standard_test_images/brick.png,nearest,SSIM,1.0
./assets/standard_test_images/camera.png,benchmark_custom,CC,1.0
./assets/standard_test_images/camera.png,benchmark,CC,1.0
./assets/standard_test_images/camera.png,bicubic,CC,1.0
./assets/standard_test_images/camera.png,dlr,CC,0.9996838460314786
./assets/standard_test_images/camera.png,lanczos,CC,1.0
./assets/standard_test_images/camera.png,linear,CC,1.0
./assets/standard_test_images/camera.png,nearest,CC,1.0
./assets/standard_test_images/camera.png,benchmark_custom,LMSE,0.0
./assets/standard_test_images/camera.png,benchmark,LMSE,0.0
./assets/standard_test_images/camera.png,bicubic,LMSE,0.0
./assets/standard_test_images/camera.png,dlr,LMSE,44.03496551513672
./assets/standard_test_images/camera.png,lanczos,LMSE,0.0
./assets/standard_test_images/camera.png,linear,LMSE,0.0
./assets/standard_test_images/camera.png,nearest,LMSE,0.0
./assets/standard_test_images/camera.png,benchmark_custom,MSE,0.0
./assets/standard_test_images/camera.png,benchmark,MSE,0.0
./assets/standard_test_images/camera.png,bicubic,MSE,0.0
./assets/standard_test_images/camera.png,dlr,MSE,3.429492950439453
./assets/standard_test_images/camera.png,lanczos,MSE,0.0
./assets/standard_test_images/camera.png,linear,MSE,0.0
./assets/standard_test_images/camera.png,nearest,MSE,0.0
./assets/standard_test_images/camera.png,benchmark_custom,NAE,0.0
./assets/standard_test_images/camera.png,benchmark,NAE,0.0
./assets/standard_test_images/camera.png,bicubic,NAE,0.0
./assets/standard_test_images/camera.png,dlr,NAE,0.001029276735280682
./assets/standard_test_images/camera.png,lanczos,NAE,0.0
./assets/standard_test_images/camera.png,linear,NAE,0.0
./assets/standard_test_images/camera.png,nearest,NAE,0.0
./assets/standard_test_images/camera.png,benchmark_custom,PSNR,361.20199909921956
./assets/standard_test_images/camera.png,benchmark,PSNR,361.20199909921956
./assets/standard_test_images/camera.png,bicubic,PSNR,361.20199909921956
./assets/standard_test_images/camera.png,dlr,PSNR,42.77850446394907
./assets/standard_test_images/camera.png,lanczos,PSNR,361.20199909921956
./assets/standard_test_images/camera.png,linear,PSNR,361.20199909921956
./assets/standard_test_images/camera.png,nearest,PSNR,361.20199909921956
./assets/standard_test_images/camera.png,benchmark_custom,RE,0.0
./assets/standard_test_images/camera.png,benchmark,RE,0.0
./assets/standard_test_images/camera.png,bicubic,RE,0.0
./assets/standard_test_images/camera.png,dlr,RE,0.016585918360440162
./assets/standard_test_images/camera.png,lanczos,RE,0.0
./assets/standard_test_images/camera.png,linear,RE,0.0
./assets/standard_test_images/camera.png,nearest,RE,0.0
./assets/standard_test_images/camera.png,benchmark_custom,SSIM,1.0
./assets/standard_test_images/camera.png,benchmark,SSIM,1.0
./assets/standard_test_images/camera.png,bicubic,SSIM,1.0
./assets/standard_test_images/camera.png,dlr,SSIM,0.9953078657259484
./assets/standard_test_images/camera.png,lanczos,SSIM,1.0
./assets/standard_test_images/camera.png,linear,SSIM,1.0
./assets/standard_test_images/camera.png,nearest,SSIM,1.0
./assets/standard_test_images/cell.png,benchmark_custom,CC,0.9999999999999999
./assets/standard_test_images/cell.png,benchmark,CC,0.9999999999999999
./assets/standard_test_images/cell.png,bicubic,CC,0.9999999999999999
./assets/standard_test_images/cell.png,dlr,CC,0.9999719871386956
./assets/standard_test_images/cell.png,lanczos,CC,0.9999999999999999
./assets/standard_test_images/cell.png,linear,CC,0.9999999999999999
./assets/standard_test_images/cell.png,nearest,CC,0.9999999999999999
./assets/standard_test_images/cell.png,benchmark_custom,LMSE,0.0
./assets/standard_test_images/cell.png,benchmark,LMSE,0.0
./assets/standard_test_images/cell.png,bicubic,LMSE,0.0
./assets/standard_test_images/cell.png,dlr,LMSE,0.23195316804407715
./assets/standard_test_images/cell.png,lanczos,LMSE,0.0
./assets/standard_test_images/cell.png,linear,LMSE,0.0
./assets/standard_test_images/cell.png,nearest,LMSE,0.0
./assets/standard_test_images/cell.png,benchmark_custom,MSE,0.0
./assets/standard_test_images/cell.png,benchmark,MSE,0.0
./assets/standard_test_images/cell.png,bicubic,MSE,0.0
./assets/standard_test_images/cell.png,dlr,MSE,0.03198071625344353
./assets/standard_test_images/cell.png,lanczos,MSE,0.0
./assets/standard_test_images/cell.png,linear,MSE,0.0
./assets/standard_test_images/cell.png,nearest,MSE,0.0
./assets/standard_test_images/cell.png,benchmark_custom,NAE,0.0
./assets/standard_test_images/cell.png,benchmark,NAE,0.0
./assets/standard_test_images/cell.png,bicubic,NAE,0.0
./assets/standard_test_images/cell.png,dlr,NAE,0.00017531595177347996
./assets/standard_test_images/cell.png,lanczos,NAE,0.0
./assets/standard_test_images/cell.png,linear,NAE,0.0
./assets/standard_test_images/cell.png,nearest,NAE,0.0
./assets/standard_test_images/cell.png,benchmark_custom,PSNR,361.20199909921956
./assets/standard_test_images/cell.png,benchmark,PSNR,361.20199909921956
./assets/standard_test_images/cell.png,bicubic,PSNR,361.20199909921956
./assets/standard_test_images/cell.png,dlr,PSNR,63.08192174708638
./assets/standard_test_images/cell.png,lanczos,PSNR,361.20199909921956
./assets/standard_test_images/cell.png,linear,PSNR,361.20199909921956
./assets/standard_test_images/cell.png,nearest,PSNR,361.20199909921956
./assets/standard_test_images/cell.png,benchmark_custom,RE,0.0
./assets/standard_test_images/cell.png,benchmark,RE,0.0
./assets/standard_test_images/cell.png,bicubic,RE,0.0
./assets/standard_test_images/cell.png,dlr,RE,0.015306562134851327
./assets/standard_test_images/cell.png,lanczos,RE,0.0
./assets/standard_test_images/cell.png,linear,RE,0.0
./assets/standard_test_images/cell.png,nearest,RE,0.0
./assets/standard_test_images/cell.png,benchmark_custom,SSIM,1.0
./assets/standard_test_images/cell.png,benchmark,SSIM,1.0
./assets/standard_test_images/cell.png,bicubic,SSIM,1.0
./assets/standard_test_images/cell.png,dlr,SSIM,0.9998078780013742
./assets/standard_test_images/cell.png,lanczos,SSIM,1.0
./assets/standard_test_images/cell.png,linear,SSIM,1.0
./assets/standard_test_images/cell.png,nearest,SSIM,1.0
./assets/standard_test_images/chelsea.png,benchmark_custom,CC,0.9982122003429639
./assets/standard_test_images/chelsea.png,benchmark,CC,0.9982122003429639
./assets/standard_test_images/chelsea.png,bicubic,CC,0.9982122003429639
./assets/standard_test_images/chelsea.png,dlr,CC,0.996625098025575
./assets/standard_test_images/chelsea.png,lanczos,CC,0.9982122003429639
./assets/standard_test_images/chelsea.png,linear,CC,0.9982122003429639
./assets/standard_test_images/chelsea.png,nearest,CC,0.9982122003429639
./assets/standard_test_images/chelsea.png,benchmark_custom,LMSE,11.239334811529934
./assets/standard_test_images/chelsea.png,benchmark,LMSE,11.239334811529934
./assets/standard_test_images/chelsea.png,bicubic,LMSE,11.239334811529934
./assets/standard_test_images/chelsea.png,dlr,LMSE,45.7709903917221
./assets/standard_test_images/chelsea.png,lanczos,LMSE,11.239334811529934
./assets/standard_test_images/chelsea.png,linear,LMSE,11.239334811529934
./assets/standard_test_images/chelsea.png,nearest,LMSE,11.239334811529934
./assets/standard_test_images/chelsea.png,benchmark_custom,MSE,12.521966001478196
./assets/standard_test_images/chelsea.png,benchmark,MSE,12.521966001478196
./assets/standard_test_images/chelsea.png,bicubic,MSE,12.521966001478196
./assets/standard_test_images/chelsea.png,dlr,MSE,15.806733185513673
./assets/standard_test_images/chelsea.png,lanczos,MSE,12.521966001478196
./assets/standard_test_images/chelsea.png,linear,MSE,12.521966001478196
./assets/standard_test_images/chelsea.png,nearest,MSE,12.521966001478196
./assets/standard_test_images/chelsea.png,benchmark_custom,NAE,0.024480624378323556
./assets/standard_test_images/chelsea.png,benchmark,NAE,0.024480624378323556
./assets/standard_test_images/chelsea.png,bicubic,NAE,0.024480624378323556
./assets/standard_test_images/chelsea.png,dlr,NAE,0.025549791100944515
./assets/standard_test_images/chelsea.png,lanczos,NAE,0.024480624378323556
./assets/standard_test_images/chelsea.png,linear,NAE,0.024480624378323556
./assets/standard_test_images/chelsea.png,nearest,NAE,0.024480624378323556
./assets/standard_test_images/chelsea.png,benchmark_custom,PSNR,37.15407840574735
./assets/standard_test_images/chelsea.png,benchmark,PSNR,37.15407840574735
./assets/standard_test_images/chelsea.png,bicubic,PSNR,37.15407840574735
./assets/standard_test_images/chelsea.png,dlr,PSNR,36.14238238317351
./assets/standard_test_images/chelsea.png,lanczos,PSNR,37.15407840574735
./assets/standard_test_images/chelsea.png,linear,PSNR,37.15407840574735
./assets/standard_test_images/chelsea.png,nearest,PSNR,37.15407840574735
./assets/standard_test_images/chelsea.png,benchmark_custom,RE,0.0353674795839621
./assets/standard_test_images/chelsea.png,benchmark,RE,0.0353674795839621
./assets/standard_test_images/chelsea.png,bicubic,RE,0.0353674795839621
